@vw2 1.3
@legend signpost: a verdict references its component recipe (ref=), never copies it
@legend q-vs-ran: q= is the REQUESTED quantity; ran= is the EXECUTED batch of the timing run
@legend metric: ns= is comparable only within identical metric= and units=; absent ns = informational
@legend lay: lay=split|il keys the CALLER's data layout (v1.2) - layout is a caller declaration like place=, never a strategy output; absent = a pre-1.2 record OR a shared-interior recipe (one engine serves both layouts - stamping a layout from the other door's timing would manufacture fake cells), served to concrete-lay requests as the fallback tier
@cell t=c2c n=8192x4 q=1 ord=nat place=oop lay=il | chain=32.16.16 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=1 csk=0 | ran=1 ns=52160.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=8192x8 q=1 ord=nat place=oop lay=il | chain=32.4.64 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=1 csk=0 | ran=1 ns=138533.3 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=8192x16 q=1 ord=nat place=oop lay=il | chain=32.4.64 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=1 csk=0 | ran=1 ns=317485.7 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=8192x32 q=1 ord=nat place=oop lay=il | chain=32.8.32 wl=64 tf=1 ro=3 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=722000.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=8192x64 q=1 ord=nat place=oop lay=il | chain=32.8.4.8 wl=32 tf=1 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=1694050.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=8192x128 q=1 ord=nat place=oop lay=il | chain=32.8.8.4 wl=256 tf=1 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=3731700.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=8192x256 q=1 ord=nat place=oop lay=il | chain=32.32.8 wl=128 tf=1 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=9327300.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=64x64 q=1 ord=scr place=oop lay=il nthreads=4 | chain=8.8 wl=8 tf=1 ro=0 cmt=1 pqn=64 pq=1 | ran=1 ns=4600.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=c2c n=256x256 q=1 ord=scr place=oop lay=il nthreads=8 | chain=4.4.4.4 wl=256 tf=1 ro=0 pqn=16 pq=1 | ran=1 ns=83760.0 metric=fwd1 units=ns src=race date=2026-08-25
@cell t=c2c n=512x512 q=1 ord=scr place=oop lay=il nthreads=8 | chain=8.4.4.4 wl=128 tf=1 ro=0 cmt=1 | ran=1 ns=130700.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=c2c n=1024x1024 q=1 ord=scr place=oop lay=il nthreads=8 | chain=4.8.4.8 wl=16 tf=1 ro=0 cmt=1 | ran=1 ns=439200.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=c2c n=4096x16 q=1 ord=scr place=oop lay=il nthreads=8 | chain=8.64.8 wl=16 tf=1 ro=0 cmt=1 forms=-.b88.- | ran=1 ns=63800.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=c2c n=32x1024 q=1 ord=scr place=oop lay=il nthreads=8 | chain=8.4 wl=8 tf=1 ro=0 cmt=1 | ran=1 ns=26800.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=c2c n=64x256 q=1 ord=scr place=oop lay=il nthreads=8 | chain=4.4.4 wl=8 tf=1 ro=0 cmt=0 | ran=1 ns=22200.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=c2c n=4096x64 q=1 ord=scr place=oop lay=il nthreads=8 | chain=32.4.4.8 wl=32 tf=1 ro=0 cmt=1 forms=b48.-.-.- | ran=1 ns=157500.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=c2c n=8192x64 q=1 ord=scr place=oop lay=il nthreads=8 | chain=64.4.32 wl=256 tf=1 ro=0 cmt=1 forms=b88.-.b48 | ran=1 ns=322800.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=c2c n=16384x64 q=1 ord=scr place=oop lay=il nthreads=8 | chain=32.16.32 wl=32 tf=1 ro=1 cmt=1 forms=b48.-.b48 | ran=1 ns=794300.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=c2c n=32768x64 q=1 ord=scr place=oop lay=il nthreads=8 | chain=64.16.32 wl=32 tf=1 ro=0 cmt=1 forms=b88.-.b84 | ran=1 ns=1754900.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=r2c n=64x64 q=1 ord=scr place=oop lay=il nthreads=8 | chain=64 rw=0 wl=0 rw_c2r=0 wl_c2r=0 cmt=1 cmt_c2r=0 pqn=16 pq=1 forms=b88 | ran=1 ns=4000.0 metric=fwd1 units=ns src=race date=2026-08-26
@cell t=r2c n=256x256 q=1 ord=scr place=oop lay=il nthreads=8 | chain=64.4 rw=0 wl=8 rw_c2r=0 wl_c2r=0 cmt=1 cmt_c2r=1 forms=b88.- | ran=1 ns=69100.0 metric=fwd1 units=ns src=race date=2026-08-26
@cell t=r2c n=512x512 q=1 ord=scr place=oop lay=il nthreads=8 | chain=64.8 rw=0 wl=64 rw_c2r=0 wl_c2r=64 cmt=1 cmt_c2r=1 forms=b88.- | ran=1 ns=280000.0 metric=fwd1 units=ns src=race date=2026-08-26
@cell t=r2c n=1024x1024 q=1 ord=scr place=oop lay=il nthreads=8 | chain=64.16 rw=0 wl=128 rw_c2r=0 wl_c2r=0 cmt=1 cmt_c2r=1 forms=b88.- | ran=1 ns=1469400.0 metric=fwd1 units=ns src=race date=2026-08-26
@cell t=r2c n=16x4096 q=1 ord=scr place=oop lay=il nthreads=8 | chain=16 rw=0 wl=0 rw_c2r=0 wl_c2r=0 cmt=1 cmt_c2r=1 | ran=1 ns=66800.0 metric=fwd1 units=ns src=race date=2026-08-26
@cell t=r2c n=32x1024 q=1 ord=scr place=oop lay=il nthreads=8 | chain=32 rw=0 wl=0 rw_c2r=0 wl_c2r=0 cmt=1 cmt_c2r=1 forms=b48 | ran=1 ns=31500.0 metric=fwd1 units=ns src=race date=2026-08-26
@cell t=r2c n=64x256 q=1 ord=scr place=oop lay=il nthreads=8 | chain=64 rw=0 wl=0 rw_c2r=0 wl_c2r=0 cmt=1 cmt_c2r=1 forms=b88 | ran=1 ns=13300.0 metric=fwd1 units=ns src=race date=2026-08-26
@cell t=r2c n=4096x16 q=1 ord=scr place=oop lay=il nthreads=8 | chain=64.64 rw=64 wl=128 rw_c2r=32 wl_c2r=128 cmt=1 cmt_c2r=1 forms=b88.b88 | ran=1 ns=104200.0 metric=fwd1 units=ns src=race date=2026-08-26
@cell t=r2c n=4096x64 q=1 ord=scr place=oop lay=il nthreads=8 | chain=64.64 rw=0 wl=64 rw_c2r=0 wl_c2r=64 cmt=1 cmt_c2r=1 forms=b88.b88 | ran=1 ns=395500.0 metric=fwd1 units=ns src=race date=2026-08-26
@cell t=r2c n=8192x64 q=1 ord=scr place=oop lay=il nthreads=8 | chain=64.32.4 rw=0 wl=128 rw_c2r=0 wl_c2r=128 cmt=1 cmt_c2r=1 forms=b88.b84.- | ran=1 ns=801600.0 metric=fwd1 units=ns src=race date=2026-08-26
@cell t=c2c n=128x64 q=1 ord=scr place=oop lay=il nthreads=8 | chain=4.4.8 wl=32 tf=1 ro=0 cmt=1 | ran=1 ns=7400.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=r2c n=128x128 q=1 ord=scr place=oop lay=il nthreads=8 | chain=32.4 rw=0 wl=8 rw_c2r=0 wl_c2r=8 cmt=1 cmt_c2r=1 forms=b48.- | ran=1 ns=17200.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=c2c n=127x100 q=1 ord=scr place=oop lay=il nthreads=6 | chain=8.4.8 wl=0 tf=0 ro=0 cmt=0 blu=256 | ran=1 ns=66400.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=r2c n=127x100 q=1 ord=scr place=oop lay=il nthreads=6 | chain=8.4.8 rw=0 wl=0 cmt=0 blu=256 | ran=1 ns=29300.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=c2c n=131x64 q=1 ord=scr place=oop lay=il nthreads=6 | chain=4.4.4.8 wl=0 tf=0 ro=0 cmt=0 blu=512 | ran=1 ns=85300.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=c2c n=2048x512 q=1 ord=scr place=oop lay=il nthreads=8 | chain=8.8.4.8 wl=128 tf=1 ro=0 cmt=1 | ran=1 ns=266700.0 metric=fwd1 units=ns src=race date=2026-09-15
@cell t=c2c n=1021x512 q=1 ord=scr place=oop lay=il nthreads=6 | chain=8.8.4.8 wl=0 tf=0 ro=0 cmt=1 blu=2048 | ran=1 ns=1304800.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=r2c n=1021x512 q=1 ord=scr place=oop lay=il nthreads=6 | chain=8.8.4.8 rw=0 wl=0 cmt=1 blu=2048 | ran=1 ns=1828300.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=c2c n=509x1024 q=1 ord=scr place=oop lay=il nthreads=6 | chain=4.8.4.8 wl=0 tf=0 ro=0 cmt=1 blu=1024 | ran=1 ns=1276300.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=c2c n=256x2048 q=1 ord=scr place=oop lay=il nthreads=8 | chain=4.8.8 wl=64 tf=1 ro=0 cmt=1 | ran=1 ns=227600.0 metric=fwd1 units=ns src=race date=2026-09-15
@cell t=c2c n=512x1024 q=1 ord=scr place=oop lay=il nthreads=8 | chain=8.8.8 wl=64 tf=1 ro=0 cmt=1 | ran=1 ns=165400.0 metric=fwd1 units=ns src=race date=2026-09-15
@cell t=c2c n=1024x512 q=1 ord=scr place=oop lay=il nthreads=8 | chain=8.4.4.8 wl=128 tf=1 ro=0 cmt=1 | ran=1 ns=158200.0 metric=fwd1 units=ns src=race date=2026-09-15
@cell t=c2c n=2048x256 q=1 ord=scr place=oop lay=il nthreads=8 | chain=8.8.4.8 wl=256 tf=1 ro=0 cmt=1 | ran=1 ns=132900.0 metric=fwd1 units=ns src=race date=2026-09-15
@cell t=c2c n=256x4096 q=1 ord=scr place=oop lay=il nthreads=8 | chain=8.4.8 wl=32 tf=1 ro=0 cmt=1 | ran=1 ns=264800.0 metric=fwd1 units=ns src=race date=2026-09-15
@cell t=c2c n=512x2048 q=1 ord=scr place=oop lay=il nthreads=8 | chain=8.8.8 wl=64 tf=1 ro=0 cmt=1 | ran=1 ns=269000.0 metric=fwd1 units=ns src=race date=2026-09-15
@cell t=c2c n=4096x256 q=1 ord=scr place=oop lay=il nthreads=8 | chain=8.64.8 wl=512 tf=1 ro=0 cmt=1 forms=-.b88.- | ran=1 ns=364400.0 metric=fwd1 units=ns src=race date=2026-09-15
@cell t=c2c n=512x4096 q=1 ord=scr place=oop lay=il nthreads=8 | chain=8.8.8 wl=8 tf=1 ro=0 cmt=1 | ran=1 ns=1085300.0 metric=fwd1 units=ns src=race date=2026-09-15
@cell t=c2c n=1024x2048 q=1 ord=scr place=oop lay=il nthreads=8 | chain=4.8.4.8 wl=256 tf=1 ro=0 cmt=1 | ran=1 ns=1306500.0 metric=fwd1 units=ns src=race date=2026-09-15
@cell t=c2c n=2048x1024 q=1 ord=scr place=oop lay=il nthreads=8 | chain=8.8.4.8 wl=32 tf=1 ro=0 cmt=1 | ran=1 ns=637800.0 metric=fwd1 units=ns src=race date=2026-09-15
@cell t=c2c n=4096x512 q=1 ord=scr place=oop lay=il nthreads=8 | chain=16.4.8.8 wl=256 tf=1 ro=0 cmt=1 | ran=1 ns=830200.0 metric=fwd1 units=ns src=race date=2026-09-15
@cell t=c2c n=1024x4096 q=1 ord=scr place=oop lay=il nthreads=8 | chain=8.4.4.8 wl=128 tf=1 ro=0 cmt=1 | ran=1 ns=5118300.0 metric=fwd1 units=ns src=race date=2026-09-15
@cell t=c2c n=2048x2048 q=1 ord=scr place=oop lay=il nthreads=8 | chain=8.8.32 wl=32 tf=1 ro=0 cmt=1 forms=-.-.b84 | ran=1 ns=3157300.0 metric=fwd1 units=ns src=race date=2026-09-15
@cell t=c2c n=4096x1024 q=1 ord=scr place=oop lay=il nthreads=8 | chain=16.4.8.8 wl=128 tf=1 ro=0 cmt=1 | ran=1 ns=3483000.0 metric=fwd1 units=ns src=race date=2026-09-15
@cell t=c2c n=2048x512 q=1 ord=nat place=oop lay=il nthreads=8 | chain=8.8.4.8 wl=256 tf=1 ro=0 cmt=1 mtarm=0 msw=0 nls=0 | ran=1 ns=470900.0 metric=fwd1 units=ns src=race date=2026-09-16
@cell t=c2c n=512x2048 q=1 ord=nat place=oop lay=il nthreads=8 | chain=8.8.8 wl=256 tf=1 ro=0 cmt=1 mtarm=1 msw=128 nls=0 | ran=1 ns=397000.0 metric=fwd1 units=ns src=race date=2026-09-16
@cell t=c2c n=1024x1024 q=1 ord=nat place=oop lay=il nthreads=8 | chain=8.4.8.4 wl=64 tf=1 ro=0 cmt=1 mtarm=1 msw=64 nls=1 | ran=1 ns=538200.0 metric=fwd1 units=ns src=race date=2026-09-16
@cell t=c2c n=2048x2048 q=1 ord=nat place=oop lay=il nthreads=8 | chain=8.8.8.4 wl=256 tf=1 ro=1 cmt=1 mtarm=0 msw=0 nls=1 | ran=1 ns=8029800.0 metric=fwd1 units=ns src=race date=2026-09-16
@cell t=c2c n=1024x4096 q=1 ord=nat place=oop lay=il nthreads=8 | chain=8.4.8.4 wl=32 tf=1 ro=0 cmt=1 mtarm=0 msw=0 nls=1 | ran=1 ns=7293500.0 metric=fwd1 units=ns src=race date=2026-09-16
